userId,logDate,dayWiseSteps
83443,2025-11-24,19641
83443,2025-11-25,18738
83443,2025-11-26,13636
83443,2025-11-27,15586
83443,2025-11-28,19061
83443,2025-11-29,10887
83443,2025-11-30,38341
83443,2025-12-01,10647
83443,2025-12-02,12952
83443,2025-12-03,13590
83443,2025-12-04,10713
83443,2025-12-05,11395
83443,2025-12-06,14567
83443,2025-12-07,19537
83443,2025-12-08,10165
83443,2025-12-09,8876
83443,2025-12-10,6786
83443,2025-12-11,6225
83443,2025-12-12,10930
83443,2025-12-13,5422
83443,2025-12-14,17932
83443,2025-12-15,10007
83443,2025-12-16,13990
83443,2025-12-17,18839
83674,2025-11-24,3915
83674,2025-11-25,5856
83674,2025-11-26,6357
83674,2025-11-27,981
83674,2025-11-28,7975
83674,2025-11-29,8061
83674,2025-11-30,5850
83674,2025-12-01,5558
83674,2025-12-02,5798
83674,2025-12-03,5287
83674,2025-12-04,8466
83674,2025-12-05,6356
83674,2025-12-06,13895
83674,2025-12-07,5936
83674,2025-12-08,5628
83674,2025-12-09,5896
83674,2025-12-10,4318
83674,2025-12-11,6545
83674,2025-12-12,5639
83674,2025-12-13,8595
83674,2025-12-14,9232
83674,2025-12-15,5134
83674,2025-12-16,7541
83674,2025-12-17,2659
84288,2025-11-24,3620
84288,2025-11-25,2927
84288,2025-11-26,2109
84288,2025-11-27,2375
84288,2025-11-28,2836
84288,2025-11-29,5145
84288,2025-11-30,9441
84288,2025-12-01,7498
84288,2025-12-02,3671
84288,2025-12-03,5323
84288,2025-12-04,4119
84288,2025-12-05,4587
84288,2025-12-06,3308
84288,2025-12-07,2783
84288,2025-12-08,1830
84288,2025-12-09,3557
84288,2025-12-10,5970
84288,2025-12-11,3707
84288,2025-12-12,3496
84288,2025-12-13,6107
84288,2025-12-14,4148
84288,2025-12-15,2916
84288,2025-12-16,3252
84288,2025-12-17,3517
84635,2025-11-24,10900
84635,2025-11-25,14456
84635,2025-11-26,11945
84635,2025-11-27,14873
84635,2025-11-28,14467
84635,2025-11-29,12180
84635,2025-11-30,16645
84635,2025-12-01,9686
84635,2025-12-02,8967
84635,2025-12-03,15489
84635,2025-12-04,10851
84635,2025-12-05,13095
84635,2025-12-06,13499
84635,2025-12-07,11689
84635,2025-12-08,13025
84635,2025-12-09,11539
84635,2025-12-10,10032
84635,2025-12-11,10144
84635,2025-12-12,11309
84635,2025-12-13,10107
84635,2025-12-14,12763
84635,2025-12-15,8341
84635,2025-12-16,14862
84635,2025-12-17,14042
167486,2025-11-24,6368
167486,2025-11-25,7596
167486,2025-11-26,6634
167486,2025-11-27,10872
167486,2025-11-28,10824
