userId,logDate,userMsgCount,coachMsgCount,expertMsgCount
83443,2025-12-02,0,3,0
83443,2025-11-24,8,12,0
83443,2025-11-25,0,3,0
83443,2025-11-26,8,10,0
83443,2025-11-27,2,4,0
83443,2025-11-28,10,12,0
83443,2025-11-29,0,4,0
83443,2025-12-01,9,13,0
83443,2025-12-02,1,5,0
83443,2025-12-03,7,7,0
83443,2025-12-04,14,12,0
83443,2025-12-05,6,7,0
83443,2025-12-06,6,5,0
83443,2025-12-08,13,9,0
83443,2025-12-09,3,6,0
83443,2025-12-10,5,7,0
83443,2025-12-11,5,6,0
83443,2025-12-12,17,11,0
83443,2025-12-13,0,5,0
83443,2025-12-14,3,0,0
83443,2025-12-15,9,13,0
83443,2025-12-16,0,4,0
83674,2025-11-26,0,5,0
83674,2025-11-24,5,14,0
83674,2025-11-25,14,8,0
83674,2025-11-26,7,7,0
83674,2025-11-27,0,4,0
83674,2025-11-28,11,9,0
83674,2025-11-29,0,2,0
83674,2025-12-01,2,6,0
83674,2025-12-02,2,7,0
83674,2025-12-03,8,6,0
83674,2025-12-04,2,6,0
83674,2025-12-05,6,7,0
83674,2025-12-06,6,8,0
83674,2025-12-07,4,6,0
83674,2025-12-08,1,5,0
83674,2025-12-09,6,10,0
83674,2025-12-10,4,8,0
83674,2025-12-11,0,1,0
83674,2025-12-12,1,5,0
83674,2025-12-15,0,3,0
83674,2025-12-16,4,7,0
83674,2025-12-17,0,2,0
84288,2025-12-03,0,5,0
84288,2025-11-24,0,3,0
84288,2025-11-25,2,5,0
84288,2025-11-26,3,7,0
84288,2025-11-27,5,12,0
84288,2025-11-28,1,3,0
84288,2025-11-29,3,0,0
84288,2025-11-30,1,0,0
84288,2025-12-01,0,3,0
84288,2025-12-02,0,6,0
84288,2025-12-03,2,3,0
84288,2025-12-04,0,3,0
84288,2025-12-05,3,10,0
84288,2025-12-06,0,2,0
84288,2025-12-08,1,6,0
84288,2025-12-09,4,7,0
84288,2025-12-10,0,4,0
84288,2025-12-11,1,2,0
84288,2025-12-12,0,6,0
84288,2025-12-13,1,5,0
84288,2025-12-14,1,0,0
84288,2025-12-15,2,3,0
84288,2025-12-16,0,1,0
84288,2025-12-17,1,1,0
84635,2025-11-24,0,6,0
84635,2025-11-24,7,5,0
84635,2025-11-25,0,5,0
84635,2025-11-26,7,10,0
84635,2025-11-27,2,6,0
84635,2025-11-28,1,7,0
84635,2025-11-29,6,7,0
84635,2025-12-01,5,9,0
84635,2025-12-02,5,10,0
84635,2025-12-03,6,5,0
84635,2025-12-04,1,11,0
84635,2025-12-05,4,7,0
84635,2025-12-06,0,3,0
84635,2025-12-08,13,16,0
84635,2025-12-09,4,8,0
